rooms,bedrooms,population,households,value,inland
2018,447,1221,446,151000,1
3045,499,1115,455,273000,0
1547,293,706,268,217100,0
3519,711,1883,706,187100,0
2070,354,804,340,239600,0
1321,263,506,252,229700,0
1694,259,610,238,257300,0
1938,341,768,332,246900,1
968,195,462,184,179900,0
1060,256,667,235,169600,1
2041,405,1059,399,203300,1
1813,271,637,277,263400,0
2718,451,1106,454,231800,0
3144,761,1737,669,140500,0
1802,459,1009,390,126000,0
882,195,737,210,122000,0
1621,452,1354,491,134700,0
2115,533,1530,474,139400,0
2021,528,1410,480,115400,0
2239,508,1390,569,137300,0
1477,300,1065,269,137000,0
1056,224,792,245,142600,0
898,244,779,245,137500,1
2968,710,2269,610,111700,1
1702,460,1227,407,126800,1
881,248,753,241,111300,1
494,114,,135,114800,1
1776,473,1807,440,102300,1
1678,514,1700,495,131900,1
1637,463,1543,393,119100,1
1420,314,1085,300,80600,1
591,173,353,137,80600,0
745,153,473,149,88800,0
2272,498,1621,483,102400,0
1234,375,1183,354,98700,1
1017,328,836,277,100000,0
932,254,900,263,92300,1
2689,597,1888,537,94800,1
1547,415,1024,341,102000,1
2300,443,1225,423,158400,0
1752,399,1071,376,121600,0
1867,403,1128,378,129100,0
2430,502,1537,484,121400,1
1729,414,1240,393,102800,0
1026,180,469,168,160000,0
2170,428,1086,425,143900,0
2329,445,1144,417,151200,0
2492,415,1109,375,164400,0
2198,397,984,369,156500,0
142,31,575,47,225000,0
1183,205,496,209,174200,0
1070,193,555,190,166900,0
1766,332,869,327,163500,0
617,95,236,106,253000,0
1411,233,626,214,240700,0
2109,387,922,329,208100,0
1229,243,582,256,198100,0
954,217,546,201,172800,0
1643,262,620,266,336700,0
1355,195,442,195,318200,0
2317,336,955,328,285800,0
2459,317,916,324,293000,0
12842,2048,4985,1967,371000,0
1524,260,651,267,157300,0
3326,746,1704,703,135300,0
1985,440,1085,407,136700,0
1642,322,713,284,160700,1
893,177,468,181,140600,1
653,128,296,121,144000,1
1256,,570,218,161900,1
977,194,446,180,156300,1
2324,397,968,384,176000,1
1583,349,857,316,145800,0
1612,342,912,322,141900,1
2424,533,1360,452,90700,1
1594,367,1074,355,90600,1
2118,413,965,382,107900,1
1575,358,933,320,107000,1
1764,397,987,354,98200,1
1187,261,907,246,89500,1
754,175,447,165,93800,1
2308,452,1299,451,96700,1
909,236,396,157,97500,1
1180,257,877,268,97300,1
2018,408,1111,367,91200,1
1368,282,790,269,91400,1
2744,547,1479,554,96200,1
2107,471,1173,438,120100,1
1748,362,1029,366,100000,1
2024,391,1030,350,94700,1
1116,259,826,279,85700,1
2036,510,1412,454,89300,1
1852,393,1132,349,101400,1
921,207,522,159,72500,1
995,238,630,237,74100,1
606,132,531,133,70000,1
2680,736,1925,667,84600,1
1493,370,1144,351,81800,1
2207,565,1481,520,81400,1
856,189,435,162,81800,1
1293,297,984,303,85800,1
847,212,567,159,87100,1
541,154,380,123,83500,1
1066,253,825,244,79700,1
707,147,417,155,83400,0
1528,291,801,287,84700,0
909,215,646,198,80000,0
1391,293,855,285,76400,0
548,119,435,136,79700,0
4074,874,2736,780,82400,0
1613,445,1481,414,97700,0
463,134,327,137,97200,0
818,193,494,179,101600,0
1473,371,1231,341,86500,0
504,126,323,109,90500,0
1026,226,749,225,107600,0
769,183,693,178,84200,0
2103,391,1339,354,88900,1
330,76,282,80,80700,1
941,218,621,195,87100,1
992,,732,259,85100,0
990,261,901,260,82000,0
1126,263,482,150,82800,0
1036,233,652,213,84600,0
1047,214,651,166,82100,0
1280,307,999,286,89300,0
1587,320,907,306,98300,0
1257,271,828,230,92300,0
1218,248,763,254,88800,1
1751,390,935,349,90000,1
2299,514,1437,484,95500,1
2457,624,1516,482,91700,0
998,211,597,185,100400,0
1685,343,949,342,94800,0
1827,307,881,302,164300,0
2781,574,1438,519,155500,0
1823,286,763,270,196900,0
2229,365,1297,355,279100,0
1513,231,545,211,252800,0
3266,491,1222,533,275400,0
1809,261,808,219,250000,1
794,111,329,109,329800,1
690,105,299,109,195500,1
1334,200,,202,255900,1
414,54,137,50,311100,0
768,93,229,93,330000,0
4400,666,1476,648,248900,0
954,161,429,154,142900,0
1445,256,849,255,126300,0
1938,399,946,331,135800,0
856,178,571,191,130600,0
1790,454,1137,386,107900,0
617,131,378,135,111100,0
1383,275,853,272,122000,0
1325,277,764,282,118000,1
1227,294,928,261,95200,1
667,140,406,133,94300,1
1223,281,824,280,92500,1
1379,287,835,259,91800,0
1534,300,826,295,109400,0
1029,181,567,211,129500,0
771,147,355,144,143400,0
824,223,533,166,98200,0
1097,239,609,215,103100,0
1283,238,576,236,276800,0
1604,263,594,286,270900,0
2248,422,870,377,246200,0
2263,522,1027,509,224200,0
1571,349,693,326,229100,0
1520,402,815,375,211600,0
5083,1212,2420,1146,256100,0
1077,293,518,276,206300,0
1248,283,620,275,221300,0
1342,291,551,266,207400,0
3061,930,2556,924,350000,0
3171,698,1498,696,218200,0
1211,261,523,227,216700,1
979,175,374,153,270600,1
2269,380,1004,371,261400,1
1844,332,769,334,261300,1
2178,421,940,423,232200,0
1650,274,645,256,375400,1
1927,279,705,288,357300,1
2079,273,684,275,374400,1
1803,240,572,236,358800,1
2041,270,671,253,417500,0
3046,373,975,365,430500,0
2318,328,779,312,362900,0
2003,250,658,244,397000,0
2261,328,819,335,346800,0
1225,169,412,168,327100,0
2315,408,835,369,290100,0
2070,329,722,306,292000,0
2616,473,1085,487,270900,0
2640,366,973,355,371100,0
1978,293,723,272,335600,0
2220,335,903,362,371300,0
1125,195,356,181,344000,0
3078,494,1005,462,342200,0
3706,531,1205,504,370900,0
3000,457,987,450,350000,0
2863,460,1031,448,368600,0
2551,417,894,404,391800,0
2255,410,823,377,415300,0
3360,648,1232,621,284900,0
1693,391,669,367,287500,0
2252,592,989,550,272900,0
2495,,1058,464,259600,0
1193,200,506,207,254500,0
1172,215,489,218,235600,0
2159,424,824,388,218400,1
2365,490,1034,475,229200,1
1895,442,920,425,192100,0
1650,395,841,380,179300,1
453,146,749,137,187500,1
409,97,208,98,138800,1
503,118,228,100,150000,1
499,127,287,128,140600,0
477,119,218,106,120000,0
1647,376,854,355,144800,0
3123,749,1695,684,144800,0
957,188,403,172,245500,0
589,132,288,131,200000,0
2026,548,963,521,173700,0
1829,536,1129,516,185600,0
895,198,386,204,182600,0
1909,416,811,406,227900,0
3022,696,1293,675,220700,0
1777,446,805,431,212000,0
2803,930,1372,876,271400,0
1465,439,862,425,268800,0
2619,682,1152,616,277800,0
1149,255,483,249,332500,0
2363,604,1558,573,338900,0
2604,837,1798,769,287500,1
685,141,266,123,384600,1
1756,465,,422,371400,0
1204,460,2016,477,350000,1
609,236,1349,250,500001,0
1087,371,3337,350,175000,0
2773,998,1721,949,241700,0
3218,1108,1675,1000,216700,0
1350,368,707,350,211300,0
3084,698,1424,694,210200,0
938,195,393,189,196400,0
1813,353,828,339,191700,0
1233,300,571,292,182300,0
2539,755,1382,713,175000,0
1267,324,792,321,165900,0
1665,404,815,372,156900,0
1659,367,788,346,164300,0
2225,460,1145,430,150000,0
2485,607,1354,563,150500,0
2031,450,958,445,169900,0
2932,668,1361,608,147400,1
2246,472,1005,449,152700,1
2052,435,924,414,182700,1
1999,417,780,358,179300,0
3007,691,1582,636,157700,0
2214,550,1213,568,153100,0
1088,305,486,267,250000,0
834,186,494,175,206300,0
1769,372,849,365,218800,0
2307,583,1127,548,198200,0
5161,1744,3276,1742,253600,0
3497,832,1493,794,257400,0
3774,744,1461,679,289500,0
2888,604,1253,538,241700,0
2153,517,1656,459,489600,0
1389,191,514,202,446200,0
1709,318,719,295,456300,0
1587,444,878,449,336800,0
1668,225,517,214,500001,0
3726,474,1366,496,500001,0
4048,663,1316,590,376900,1
3618,768,1508,755,309600,1
4076,920,1800,815,182300,1
2077,400,719,326,172700,1
1279,300,675,255,150800,1
1974,426,875,363,153600,1
335,83,152,77,106300,0
1375,307,843,319,142300,0
610,145,281,132,119400,0
1025,198,506,204,147900,0
2063,484,1054,466,132900,0
1872,419,1017,414,132500,0
3108,813,1623,765,126900,0
7355,2408,3100,2051,143800,0
2990,379,947,361,500001,0
2492,310,808,315,500001,0
2991,335,1018,335,500001,0
3242,366,1001,352,500001,0
3051,381,1005,369,466100,0
3494,396,1192,383,500001,0
1757,246,585,227,457800,0
2449,312,916,316,471600,1
1611,203,556,179,500001,1
3665,,1470,520,398600,1
2474,403,1104,398,340700,1
3037,516,1242,518,289900,1
2269,323,805,321,335300,0
1316,177,378,162,333000,0
1153,235,481,223,241000,0
772,179,409,160,189600,0
1711,386,885,373,206300,1
2650,566,1468,567,215700,1
1038,220,482,215,210200,1
1527,320,825,264,208800,0
859,157,429,158,197900,0
970,217,528,208,201300,0
1045,239,496,216,190800,1
1408,280,718,265,207900,1
1222,264,630,265,215300,0
1169,263,723,286,212900,0
2020,535,959,486,292700,1
4145,869,3668,855,275000,0
2038,368,2037,355,200000,1
5154,,3741,1273,173400,0
1241,309,821,300,102200,1
1468,363,870,347,220800,0
3997,1073,1901,966,242800,1
2873,763,1243,663,265400,1
1487,306,730,327,219000,1
1670,350,793,299,282100,1
2252,388,1033,434,372000,1
1731,377,872,363,225800,1
1710,481,849,457,220800,0
2388,559,1121,518,234500,0
2156,458,872,445,254200,0
1565,315,637,297,351800,0
1704,371,663,340,275000,0
1210,168,411,172,405400,0
2097,444,915,413,228100,0
1848,479,921,477,234000,0
955,284,585,266,162500,0
4329,1110,2086,1053,243400,0
3011,542,1303,535,273800,0
1049,185,374,176,248500,0
2504,516,979,472,244000,0
1846,471,827,446,240900,0
1705,246,658,253,306300,0
1542,289,654,268,240000,1
891,300,384,146,247100,1
4051,753,1499,797,286600,1
2646,581,1128,522,266700,1
2428,525,1110,492,229800,0
2567,436,1119,415,229300,0
7031,1249,2930,1235,228400,0
1914,365,897,390,206200,0
18634,2885,7427,2718,350700,0
5785,1379,2973,1312,231000,0
2876,648,1340,632,252900,0
6909,1554,2974,1484,353900,0
5679,1270,2690,1151,291700,0
1156,365,583,326,100000,1
14316,2045,5781,2007,341600,1
3596,467,1738,512,412500,0
3541,570,1478,529,248600,1
1808,302,746,270,254900,0
2879,480,1235,455,241500,1
3204,477,1411,484,295200,0
3866,531,1368,521,340400,0
2476,368,1048,367,274700,0
2211,350,1004,365,238600,0
2663,387,1086,367,266400,0
2599,366,922,350,330200,0
4569,824,1950,819,206800,0
2973,622,1413,595,209200,0
3115,625,1444,568,195800,0
1843,282,749,269,253500,0
2053,336,867,329,241800,0
6740,1073,2723,1035,252500,0
1751,269,731,263,263900,0
1663,295,781,301,227000,0
3716,657,1784,652,220900,0
2718,447,1156,410,259300,0
1420,272,645,277,232500,0
1893,310,821,315,231600,0
3906,790,1912,770,209400,1
3400,736,,694,223200,1
3402,758,1645,710,209900,0
4413,1107,2239,1051,208200,1
2304,618,1021,552,203800,0
2350,499,1105,467,195700,0
5914,1309,2999,1295,190500,0
1575,324,740,284,181000,0
1414,274,629,244,184900,0
848,202,314,205,190800,0
3051,685,1479,668,242200,0
4296,817,1732,800,188300,0
2898,557,1338,550,183500,0
1071,201,440,192,204200,0
2619,403,922,393,251900,0
1494,316,611,288,187500,0
2260,416,994,412,198200,0
1394,223,545,230,219000,0
1028,129,317,143,275000,0
3758,819,1573,736,245400,0
2163,470,925,435,177500,1
1699,408,768,385,171600,1
1555,289,620,292,183300,1
1114,206,425,207,175000,1
1498,313,1003,305,156700,0
726,147,519,135,157500,0
890,200,481,198,179800,0
2639,533,1209,519,205500,0
2562,554,1398,525,178900,0
361,69,158,58,262500,0
3008,659,1817,664,165000,0
1369,284,766,289,159700,0
1692,398,814,328,158300,0
1007,245,618,239,144800,0
3783,814,2139,789,166300,0
1507,242,632,253,191000,0
666,132,366,134,175000,0
2229,601,877,485,137500,1
2215,587,830,573,141700,1
1616,372,739,379,210900,0
1190,251,540,266,198300,0
4169,1047,2024,962,157400,0
2024,320,823,334,264700,1
1723,394,711,353,218400,0
2264,390,931,368,235100,0
1996,268,686,270,341800,0
2862,394,1030,397,367300,0
2183,383,976,392,243500,0
1037,207,552,210,167900,0
1134,153,340,171,371200,0
786,132,288,132,218900,0
1397,253,555,248,202700,0
2315,451,1006,444,186200,0
1613,339,776,346,188900,0
1421,298,609,270,180000,0
5778,1526,2441,1352,202700,0
3094,866,1364,789,181700,0
3905,1007,2197,1044,166800,0
3046,557,1333,544,183700,1
3516,710,1810,703,218000,1
998,178,531,183,191500,0
1464,244,672,261,194700,0
1463,292,695,330,187200,0
4124,1054,2162,998,223100,0
2380,769,1216,643,271300,0
1266,228,606,239,194100,0
2239,391,1203,379,190400,0
1571,317,874,301,189100,0
1246,221,,222,184600,0
1501,287,703,276,197300,0
1468,252,733,229,192600,0
1118,219,625,228,192200,0
1097,208,568,225,194600,0
1719,303,836,311,193500,0
1755,365,952,362,202600,1
1687,348,568,352,83300,1
2262,391,1125,366,212600,0
2087,407,840,401,187800,0
1480,278,796,283,205700,1
1545,273,863,267,192900,0
2632,447,1349,486,205200,0
2261,443,929,383,213400,1
1670,308,957,335,183600,0
2141,535,1093,555,178400,0
3337,613,1489,607,219200,0
3184,716,1561,628,183100,1
2341,500,1256,485,157100,1
1197,269,695,279,157800,1
1131,278,560,237,161700,0
1164,284,632,289,152100,0
3495,787,1849,750,144900,0
2488,617,1287,538,179900,0
2681,508,1580,536,179100,0
2495,635,1571,579,159900,0
1689,461,828,443,161400,0
1298,306,835,338,170400,0
2693,789,1765,724,137500,0
746,,387,161,178400,0
2444,651,1562,618,155200,0
1472,310,768,309,160900,0
2227,560,1140,472,167300,0
200,25,83,31,340000,0
1283,194,485,171,431000,0
2445,590,1189,573,301100,0
1307,236,586,249,241900,0
3785,936,2240,792,162500,0
2031,357,867,352,299200,0
8299,1326,3827,1288,315500,0
7518,1279,3827,1294,216800,1
1815,426,1280,431,218100,1
5367,1207,2667,1047,170300,1
1167,370,253,137,275000,0
2607,682,1401,607,184100,0
493,168,233,152,160000,0
1252,305,673,308,175000,0
1382,353,704,314,197500,0
500,110,273,120,150000,0
2333,538,1120,540,205600,0
1834,463,1105,467,170300,0
1415,348,569,293,190900,0
1352,342,691,324,196900,0
2116,503,1109,448,174000,0
1976,481,1197,465,170200,0
1779,413,1061,400,180900,1
3659,897,2479,903,150500,0
1892,428,1162,389,167100,0
1958,484,1146,448,148900,0
1553,253,724,267,196400,0
2412,394,975,375,191100,0
2110,389,952,370,187500,0
2179,401,1159,399,180600,0
2457,445,1129,422,182800,0
2147,399,1175,401,179300,0
1676,340,924,328,179400,0
2976,518,1424,538,210300,0
3036,533,1366,500,192300,0
2472,398,1171,390,198100,1
1487,249,641,243,196200,1
2012,347,880,332,181600,1
3342,540,1635,557,186900,0
3156,534,1495,543,188300,0
1748,318,914,317,184000,0
3429,681,1798,694,184700,0
3592,703,1625,665,179900,0
1035,247,599,224,167200,0
3028,811,2037,703,165400,0
2431,655,1854,603,154000,1
2069,500,1408,478,153500,1
1340,313,766,271,135400,1
1160,259,725,274,158300,1
2015,318,1019,340,240700,1
3882,816,1830,743,180700,0
3239,671,1469,616,230600,0
2932,739,1198,624,210800,0
2104,409,1039,394,165300,0
1694,251,690,242,254200,0
3000,419,1155,415,332600,0
2419,348,1066,384,350000,0
2280,610,1255,587,161200,0
5031,1168,2461,1042,179300,0
1547,372,1063,356,154300,1
3300,790,2181,740,161800,1
5018,1439,3069,1299,161900,1
1813,393,1093,374,165400,1
1997,436,1349,437,166600,0
901,191,599,206,149700,0
686,142,480,149,162100,0
1954,464,1293,448,152600,0
2630,722,1414,634,195200,0
1130,192,543,184,190600,0
1184,200,572,194,193800,0
656,115,342,112,200600,0
2544,643,2332,603,150000,0
1305,225,768,234,185300,0
1755,316,913,299,172700,0
2843,652,1726,643,174100,0
2538,494,1185,501,194400,0
1784,311,735,278,206700,0
1797,327,796,319,204500,0
410,76,252,82,175000,0
162,27,86,25,137500,0
9963,2031,5613,1946,187200,0
2361,458,1727,467,173600,0
862,167,407,183,163000,0
4335,808,2041,734,331600,0
1487,280,854,301,197600,0
3592,849,1907,746,197900,0
432,102,264,77,228100,0
1457,242,735,249,189500,0
1578,284,836,292,184200,0
2172,435,1377,408,180900,0
1340,245,789,248,172000,1
1116,199,662,226,177900,1
1885,307,853,271,173100,1
1180,212,664,200,172600,0
5267,1253,4065,1113,182100,0
1897,440,1109,418,179500,0
767,171,548,185,176000,0
691,127,431,149,192600,0
786,133,463,160,182700,0
5861,1516,5436,1463,134900,0
2784,723,2028,693,157600,0
4524,860,2426,862,190900,0
1468,304,1038,282,158200,0
1655,450,857,430,350000,0
1227,286,848,291,158200,0
1160,252,729,220,146100,0
952,172,369,159,226700,0
2072,352,1001,350,198700,0
2964,547,1472,527,221200,0
1032,173,453,176,208500,0
657,118,328,134,204200,0
1540,324,793,302,193200,0
1298,236,632,204,209500,1
1409,271,1002,281,164900,1
1383,,808,241,161400,1
1151,216,727,215,187000,1
899,179,455,185,190400,1
1793,364,1534,346,156600,1
2485,518,1139,550,157300,0
1931,376,1175,337,168100,0
2329,465,1401,453,177600,0
6711,1374,3388,1289,208900,0
1939,356,841,364,169200,0
1642,346,705,351,163900,0
1619,293,1148,310,164700,0
517,108,391,107,156900,0
1570,274,992,249,168800,0
1213,221,790,243,174100,0
1826,309,1016,313,206500,0
2261,443,1039,395,203900,0
3666,711,2341,703,217000,0
1633,345,1382,338,159600,0
2155,522,1858,437,159800,0
1295,280,1156,300,154300,0
1295,295,1097,328,149600,1
1518,302,831,268,188600,1
3314,638,1873,602,238500,1
3009,497,1640,514,235300,0
2605,474,1568,433,261400,0
5159,832,3174,817,234400,0
1726,276,1186,310,231700,0
1816,365,1367,355,156300,0
2578,551,1680,528,222000,0
2576,418,1657,410,254400,0
1644,251,1033,267,244300,0
1606,240,1117,268,247000,0
3349,544,2003,488,236500,0
3475,686,2568,653,151400,0
1893,338,1461,344,213700,0
1727,302,1116,273,243600,0
6243,1273,3163,1274,212500,0
2077,383,1488,389,214700,0
1165,333,855,319,213200,0
4371,889,2530,817,256000,0
838,295,240,149,237500,0
3052,760,2097,728,178100,0
4313,717,2629,721,231800,1
385,94,295,92,147900,0
3046,678,2056,628,191700,0
4342,783,2172,789,247600,0
3575,597,1777,559,283500,0
4126,1031,2079,975,216900,0
2878,478,1276,485,282500,0
4405,717,2071,688,295600,0
16199,2993,8117,2847,281800,0
14917,2708,8012,2606,269800,0
5719,1064,3436,1057,231200,0
8647,1407,5019,1379,318300,0
8112,1376,4576,1348,253400,0
10648,1818,6075,1797,278200,0
1150,311,648,245,300000,0
14014,2861,7205,2753,273500,1
4332,857,2461,829,223400,0
1716,312,914,316,214500,0
4981,964,2841,924,220200,1
8444,1492,4446,1491,240300,1
3028,778,1531,736,158000,1
2068,532,1434,495,224200,0
1325,274,909,267,177200,1
2563,485,1174,501,216100,0
5505,1005,2641,971,269700,0
6462,1294,3288,1235,231200,0
3746,993,1606,838,162500,0
8918,1823,4518,1772,254000,0
1949,344,986,322,196200,0
4924,1247,3080,1182,189400,0
5133,1375,3386,1339,220800,0
6647,2098,4649,1903,213800,0
5674,748,2412,714,442900,0
10687,1540,4552,1520,333400,0
1354,192,596,220,352400,0
3715,526,1631,538,305300,0
2095,342,941,304,259600,0
3517,645,1724,585,248900,0
2537,382,1067,410,356000,0
5106,1207,2738,1108,236000,0
2215,475,1278,492,218800,0
2949,529,1538,545,228000,0
2375,652,1252,586,235900,1
2312,496,1344,467,203200,1
2277,420,1353,413,197000,1
2506,387,1273,406,236400,1
2829,566,1610,540,223200,1
3179,703,2142,639,222700,1
2332,371,1285,404,225000,1
3584,715,1673,661,240100,1
3046,507,1772,516,227900,0
2414,415,1106,453,268600,0
4133,744,2023,749,275100,0
2791,495,1276,468,256300,0
6103,1249,3026,1134,332400,1
2572,406,1128,395,287600,1
1910,371,852,357,298900,1
1890,303,889,314,287600,1
5405,939,2831,923,222200,0
3761,623,1776,613,232600,1
3333,511,1671,504,258300,0
4925,948,2530,894,230900,0
3994,764,2721,763,196900,0
5811,1125,3215,1086,223500,0
4211,741,2352,734,223900,0
5532,973,2855,960,243500,0
28258,3864,12203,3701,451100,0
4909,577,1981,591,500001,0
7441,1588,3571,1466,193100,0
4314,676,1972,623,264400,0
2016,322,1105,357,246900,0
5377,744,2759,760,337300,0
9167,1373,4319,1404,284800,0
3087,532,1597,483,217300,0
3170,532,1446,515,291700,0
2145,369,1285,377,223800,0
4209,731,2568,703,223100,0
4247,835,2357,823,211300,0
4458,922,2998,890,218500,1
407,97,307,100,156300,1
6483,1068,3526,1060,248200,1
1867,343,1213,338,186000,1
2918,672,1911,639,178200,1
2316,478,1524,467,190400,1
1240,264,719,236,210300,1
4458,856,3038,870,208000,1
1746,437,1268,404,183300,1
2506,387,1273,406,236400,1
4572,712,2346,709,245700,1
4280,673,2216,681,242200,1
6352,1390,3223,1316,181700,1
7477,1576,2937,1506,299400,1
4638,716,2302,687,219500,1
4377,668,2038,671,231800,1
3816,637,1935,642,221300,1
2806,459,1453,444,213800,1
4822,845,2288,805,206000,1
6473,1027,2484,970,271100,1
8072,1050,3386,1062,336500,1
1280,209,512,208,315600,1
3166,424,1081,400,500001,1
3742,555,1590,559,285400,0
7397,1137,3126,1115,323000,0
1655,223,706,219,291900,0
2456,582,793,456,225600,0
2179,308,926,299,259600,1
1804,254,831,260,262900,1
3631,547,1700,520,257300,1
2876,423,1395,427,259200,0
