LotFrontage,OverallQual,YearBuilt
34.0,8,2006
85.0,6,1969
,5,1918
62.0,6,2004
78.0,6,1972
80.0,6,1958
50.0,5,1938
64.0,7,2003
71.0,5,1977
68.0,7,2001
75.0,8,2004
50.0,6,1948
,5,1956
,8,2001
80.0,7,1979
72.0,5,1957
70.0,5,1959
98.0,8,2007
104.0,6,1976
81.0,8,2006
51.0,7,2007
70.0,7,2001
67.0,7,2002
80.0,6,1972
144.0,5,1923
64.0,6,2003
110.0,8,2007
86.0,9,2005
83.0,7,2009
84.0,8,2006
60.0,4,1885
56.0,9,2005
100.0,6,1964
,6,1916
43.0,5,1995
,6,1969
,4,1966
42.0,9,2006
74.0,7,1998
70.0,5,1963
68.0,7,2002
61.0,9,2005
,5,1977
130.0,10,2007
50.0,5,1924
85.0,4,1961
75.0,4,1963
,6,1978
50.0,1,1946
30.0,7,2004
,7,2004
65.0,5,1967
,8,1929
80.0,6,1971
,5,1967
63.0,6,2004
80.0,5,1921
,6,1965
64.0,7,2007
60.0,5,1972
82.0,7,1989
78.0,8,1998
53.0,7,1926
62.0,6,1999
50.0,6,1993
60.0,5,1957
83.0,9,2009
75.0,6,1954
,5,1983
36.0,7,2003
50.0,5,1947
,8,2002
110.0,5,1963
,7,1988
98.0,5,1890
53.0,7,1941
88.0,8,2005
89.0,8,2007
63.0,7,2003
82.0,7,1988
93.0,8,2003
100.0,6,1968
30.0,7,2005
75.0,8,2003
,8,2000
,7,1971
98.0,9,2004
62.0,5,1940
72.0,7,2003
,6,1920
137.0,6,1966
40.0,8,1988
59.0,6,1998
73.0,4,1965
86.0,9,2007
80.0,5,1954
65.0,5,1961
64.0,5,1979
21.0,4,1972
21.0,4,1970
108.0,9,2006
75.0,5,1961
75.0,8,2006
118.0,7,2001
70.0,5,1960
24.0,8,1999
93.0,7,1999
21.0,6,1971
50.0,4,1941
60.0,5,1939
80.0,8,2004
74.0,5,2006
77.0,5,1954
110.0,6,1957
,6,1958
80.0,7,1996
100.0,6,1964
69.0,4,1982
69.0,6,1997
79.0,6,1922
70.0,5,1959
58.0,6,2000
50.0,6,1937
73.0,6,1956
60.0,7,1890
100.0,5,1915
73.0,5,1957
80.0,7,1976
,6,1970
50.0,5,1948
,7,1995
92.0,7,1996
78.0,8,2007
,4,1954
60.0,4,1949
60.0,4,1900
73.0,7,2006
73.0,7,2007
40.0,6,1920
85.0,9,2009
63.0,7,1995
81.0,6,1984
,5,1971
,6,1995
,7,1979
,7,1999
,6,1958
,7,1931
61.0,4,1961
42.0,6,1973
68.0,6,2005
95.0,8,1970
44.0,8,2006
60.0,6,2006
80.0,7,2002
93.0,8,2007
70.0,4,1971
24.0,6,2004
,4,1920
79.0,5,1953
90.0,7,1990
60.0,6,1914
55.0,3,1940
70.0,5,1972
50.0,5,1939
50.0,3,1948
65.0,7,2007
66.0,7,1999
,6,2003
96.0,10,2007
50.0,5,1925
120.0,6,1935
60.0,4,1920
313.0,10,2008
,5,1958
75.0,8,2009
60.0,4,1954
,7,1968
70.0,5,1963
75.0,7,2005
72.0,5,1956
65.0,7,2004
50.0,8,1872
73.0,7,2003
,8,2001
,5,1958
60.0,4,1910
57.0,5,1952
64.0,7,2006
52.0,5,1930
,8,2002
,6,1981
90.0,5,2006
,7,1973
72.0,7,2003
65.0,6,1994
60.0,6,1941
44.0,5,1976
,5,1978
68.0,5,1950
60.0,5,1920
63.0,7,2004
57.0,5,1967
85.0,8,2005
80.0,7,2001
60.0,4,1941
50.0,6,1984
75.0,7,1940
,6,1992
71.0,5,1952
62.0,7,2005
168.0,7,2006
80.0,6,1977
24.0,7,1999
60.0,6,1916
105.0,10,2008
60.0,6,1920
118.0,10,1995
82.0,7,1995
74.0,3,1952
70.0,5,1967
65.0,7,2005
75.0,4,1954
72.0,7,2009
60.0,5,1910
63.0,7,2004
45.0,5,1918
80.0,6,1964
80.0,7,1993
54.0,6,1925
,7,1992
58.0,5,1922
72.0,7,2007
,8,2001
65.0,5,1994
60.0,6,1940
109.0,7,2006
43.0,7,2007
75.0,6,2009
57.0,6,1950
24.0,6,1974
59.0,6,1910
,6,1960
58.0,5,1910
65.0,7,2003
,6,1978
,5,1967
73.0,5,2006
80.0,5,1963
,6,1976
89.0,7,2004
50.0,5,1954
124.0,6,1959
73.0,5,1960
149.0,6,2005
44.0,7,1987
70.0,6,1930
60.0,6,1935
313.0,7,1960
85.0,6,1988
65.0,6,1994
60.0,4,1970
60.0,4,1950
60.0,4,1949
54.0,7,1920
75.0,8,2007
134.0,5,1959
60.0,5,1915
59.0,7,1993
44.0,8,2006
81.0,7,1953
107.0,9,2008
,6,2000
90.0,5,1953
68.0,4,1954
32.0,8,1993
81.0,7,1994
80.0,6,1964
70.0,5,1958
50.0,3,1910
44.0,7,2003
,6,1976
60.0,4,1920
129.0,9,2004
91.0,7,1984
,6,1977
40.0,6,1926
47.0,5,1957
,6,1972
24.0,7,2004
93.0,7,1968
70.0,3,1931
40.0,4,1922
,8,1981
86.0,8,2007
70.0,7,1996
80.0,6,1961
,6,1998
64.0,8,2008
50.0,7,1920
51.0,5,1925
79.0,6,1941
85.0,5,1954
21.0,6,1971
74.0,5,1982
55.0,4,1910
60.0,7,1931
82.0,6,1966
,6,2002
75.0,7,1998
,6,1977
95.0,7,2005
75.0,5,1959
50.0,4,1936
85.0,6,1975
,8,1990
90.0,10,1892
115.0,5,1959
42.0,7,1989
85.0,5,1919
68.0,5,1953
79.0,8,1983
85.0,8,2002
,5,1959
49.0,8,2007
32.0,6,1998
98.0,8,2006
60.0,5,1949
,5,1968
24.0,6,1976
60.0,2,1920
47.0,4,1945
65.0,5,1967
70.0,5,1962
,6,1963
60.0,5,1952
36.0,6,2003
50.0,7,1990
60.0,6,1928
,5,1968
80.0,5,1973
,7,1999
63.0,5,1976
30.0,5,1925
21.0,4,1973
30.0,6,2009
21.0,6,1972
70.0,7,1994
68.0,5,1956
,6,1978
97.0,6,1988
66.0,5,2004
,6,1967
21.0,6,1972
60.0,4,1950
,8,1986
,5,1978
69.0,8,2005
60.0,5,1920
72.0,5,1965
92.0,8,1999
37.0,5,1984
74.0,5,1953
60.0,3,1950
90.0,4,1920
107.0,9,2006
59.0,7,2004
51.0,5,1936
78.0,5,1954
50.0,4,1920
112.0,5,1994
60.0,7,1914
80.0,6,1950
120.0,6,1968
50.0,6,1939
61.0,8,2008
35.0,7,2006
54.0,5,1970
,6,1954
60.0,8,2007
60.0,5,1987
,7,1972
87.0,6,1958
34.0,5,1916
,5,1948
,4,1941
24.0,6,1978
70.0,6,1959
60.0,4,1971
85.0,5,1958
65.0,5,1968
,1,1922
,7,2009
60.0,3,1915
68.0,7,1999
,5,1976
21.0,6,1973
114.0,10,2007
24.0,6,1976
75.0,5,1965
,6,2002
61.0,6,1945
86.0,6,1918
50.0,6,1937
75.0,6,1958
67.0,5,1900
88.0,7,2002
70.0,4,1910
60.0,4,1994
75.0,6,1908
90.0,5,1954
88.0,8,2005
80.0,8,2005
65.0,5,1967
85.0,9,2005
60.0,5,1972
50.0,6,1992
,6,2004
65.0,7,1916
41.0,5,1977
61.0,6,2005
,8,2003
134.0,7,2005
71.0,6,1963
60.0,5,1925
68.0,7,2006
,5,1965
80.0,6,1955
21.0,4,1970
94.0,10,2009
70.0,8,2001
70.0,7,2004
60.0,5,1892
60.0,5,1924
74.0,7,2006
90.0,6,1957
75.0,8,2002
,6,1992
78.0,8,2008
85.0,8,2002
60.0,6,1920
110.0,8,2006
57.0,4,1925
,5,1977
35.0,7,2006
75.0,5,1965
90.0,6,1968
60.0,6,1910
43.0,7,2004
50.0,5,1921
,5,1961
,6,1960
60.0,5,1994
68.0,5,1950
,6,1966
,6,1960
76.0,5,1900
65.0,6,1958
70.0,5,1971
,7,2003
40.0,4,1916
70.0,5,1958
80.0,5,1954
92.0,8,1994
43.0,7,2005
,5,1962
60.0,5,1910
80.0,6,1957
65.0,6,2005
72.0,5,1959
60.0,6,1914
,5,1959
71.0,5,1940
21.0,6,1971
52.0,4,1926
,7,2003
67.0,8,2006
48.0,7,2003
,5,1964
121.0,8,1882
94.0,4,1963
70.0,5,1958
84.0,8,2000
,5,1976
,8,1935
50.0,5,1929
51.0,5,1921
24.0,5,1970
53.0,7,2006
75.0,8,2006
,5,1969
21.0,6,1973
32.0,7,2004
87.0,7,1880
152.0,8,1988
150.0,7,1965
,5,1936
70.0,5,1971
,6,1997
60.0,5,1951
,6,1988
100.0,6,1964
93.0,8,2007
,8,1985
36.0,7,2003
60.0,6,1906
65.0,7,2006
40.0,7,2005
111.0,9,2006
70.0,5,1958
58.0,7,1998
108.0,8,2004
63.0,7,2003
65.0,7,2001
,6,1991
63.0,6,1915
70.0,6,1994
,4,1972
24.0,7,1999
85.0,5,1900
80.0,7,1988
182.0,7,2004
35.0,6,1914
21.0,4,1970
84.0,6,1923
,6,1977
,6,1964
87.0,6,1962
,7,1984
,5,1979
51.0,6,1925
72.0,4,1967
55.0,5,1930
,7,1968
,7,1961
,6,1976
70.0,8,1932
98.0,5,1920
80.0,6,1964
80.0,6,1959
52.0,4,1947
82.0,5,1996
,6,2000
66.0,8,1998
,8,1992
59.0,7,2005
78.0,6,1949
78.0,5,1975
79.0,7,1996
60.0,5,1949
75.0,6,1997
92.0,8,2009
,6,1970
50.0,5,1948
70.0,6,1923
78.0,6,1948
,6,1999
43.0,7,2005
89.0,5,1951
24.0,7,1999
,10,2001
74.0,8,2008
57.0,5,1953
21.0,5,1971
60.0,5,1951
50.0,6,1926
,6,1969
43.0,7,2005
74.0,5,1954
50.0,4,1945
,3,1955
76.0,6,1993
78.0,6,1984
80.0,5,1977
,7,2004
57.0,6,1928
53.0,8,2006
80.0,5,1956
92.0,8,2007
72.0,8,2009
60.0,6,1920
79.0,6,1997
,6,1984
24.0,6,1980
107.0,3,1900
60.0,4,1953
41.0,7,2004
74.0,9,2004
82.0,5,1949
,6,1971
95.0,7,2002
80.0,5,1959
60.0,6,1926
,7,2003
94.0,7,2009
55.0,6,1918
45.0,3,1914
,5,1959
68.0,9,1981
107.0,8,2007
93.0,8,1998
60.0,4,1885
,4,1960
,6,1970
,4,1956
51.0,7,1931
60.0,6,1948
100.0,5,1948
41.0,8,2001
,6,1996
85.0,6,1964
50.0,4,1936
21.0,6,1973
60.0,5,2005
60.0,5,1941
,6,2000
65.0,6,1939
,7,1974
88.0,6,1977
120.0,5,1975
35.0,6,2005
62.0,8,2003
,5,1962
85.0,7,2005
53.0,6,1977
,8,2001
60.0,5,1900
,3,1949
76.0,6,1958
51.0,5,1931
60.0,5,1940
35.0,6,1975
60.0,3,1915
75.0,5,1964
74.0,6,1934
,7,1990
75.0,7,1941
60.0,7,2004
78.0,8,1934
78.0,7,1999
,7,2003
98.0,8,1998
174.0,8,1918
60.0,4,1912
83.0,7,1977
,7,1977
63.0,7,1998
38.0,8,1996
75.0,6,1958
70.0,6,2003
50.0,6,1924
60.0,4,1950
69.0,6,1910
80.0,7,1978
75.0,7,1998
,6,1930
,6,1992
40.0,8,2000
102.0,5,1955
43.0,7,2005
,7,2001
80.0,6,1976
77.0,7,2007
65.0,5,1965
60.0,6,1905
60.0,5,1965
94.0,6,1971
,8,2001
92.0,4,1955
80.0,6,1950
91.0,8,1994
90.0,4,1972
93.0,6,2000
56.0,5,1922
80.0,5,1963
75.0,8,2006
70.0,6,1966
,5,1966
61.0,5,1977
55.0,6,1979
80.0,6,1955
85.0,7,1977
60.0,6,1917
,6,1966
60.0,7,2003
,7,1998
70.0,6,1980
,6,1971
55.0,6,1923
69.0,5,1957
55.0,5,1932
96.0,5,1966
107.0,8,2004
60.0,7,1910
60.0,5,1920
95.0,7,1996
,6,1932
85.0,9,2006
80.0,6,1969
59.0,7,1996
70.0,6,1962
,5,1962
,6,1993
60.0,4,2005
66.0,6,1918
34.0,6,1998
65.0,7,2000
70.0,5,1959
70.0,6,1978
21.0,4,1970
40.0,5,1962
,5,1959
,7,1994
60.0,5,1962
69.0,5,1962
80.0,7,1988
66.0,6,2003
83.0,7,2007
79.0,5,1941
75.0,8,1972
,8,2001
50.0,5,1958
60.0,4,1970
90.0,9,2002
85.0,5,1920
75.0,5,1954
51.0,6,1936
70.0,5,1965
78.0,6,1968
43.0,7,2005
,7,1997
78.0,6,1977
80.0,4,2003
78.0,5,1968
103.0,7,2007
84.0,6,1965
,8,1984
73.0,6,1959
88.0,9,2010
,5,1967
60.0,5,1940
71.0,6,2001
60.0,5,1982
109.0,5,1968
,4,1973
85.0,6,1953
90.0,6,1956
60.0,4,1900
,7,1997
,6,1960
,7,1990
,5,1966
105.0,6,2006
60.0,6,2000
60.0,5,1916
82.0,8,1999
65.0,7,2004
,6,1976
60.0,5,1936
88.0,5,1961
70.0,7,2002
69.0,5,1969
37.0,6,1984
73.0,7,1996
95.0,5,1948
80.0,7,1973
66.0,7,1941
48.0,7,1998
,6,1976
51.0,4,1946
75.0,6,1977
110.0,9,2003
52.0,4,1925
65.0,7,2005
82.0,8,2006
60.0,5,1980
66.0,6,1915
64.0,7,2006
70.0,5,1972
24.0,5,1970
99.0,7,1990
60.0,9,2005
32.0,6,1998
60.0,7,1928
,6,2004
70.0,7,2000
85.0,5,1961
73.0,6,2006
64.0,5,1979
,7,1992
48.0,8,2003
86.0,7,2005
40.0,5,1945
91.0,7,2006
71.0,7,2004
74.0,8,2005
72.0,6,1976
35.0,6,2005
,5,1955
,6,1925
101.0,8,2005
60.0,5,1950
,7,1965
30.0,7,2005
89.0,9,2008
63.0,5,1940
37.0,6,2003
84.0,7,2007
70.0,5,1962
41.0,8,2001
,7,2000
59.0,7,2004
75.0,5,1951
70.0,7,2002
41.0,8,2000
,6,1978
65.0,7,1880
65.0,6,2004
57.0,7,1930
153.0,4,1941
,5,1950
50.0,5,1963
129.0,7,2003
82.0,6,1946
99.0,5,1966
43.0,8,2004
91.0,7,2008
96.0,8,2008
63.0,9,2005
47.0,8,2003
67.0,4,1938
88.0,7,1966
70.0,6,1998
50.0,5,1947
,5,1948
40.0,6,2009
,5,1964
63.0,6,2005
85.0,7,1970
50.0,4,1939
80.0,8,1981
78.0,6,2006
65.0,4,1928
60.0,5,1955
55.0,7,1918
53.0,7,2007
